voice_id,name,language,gender,preview_audio,support_interactive_avatar,support_locale
f8c69e517f424cafaecde32dde57096b,"
Allison  ",English,female,N/A,N/A,True
fb8c5c3f02854c57a4da182d4ed59467,Ivy,English,female,N/A,N/A,True
d92994ae0de34b2e8659b456a2f388b8,John Doe,English,male,N/A,N/A,True
e0cc82c22f414c95b1f25696c732f058,Cassidy ,English,female,N/A,N/A,True
f38a635bee7a4d1f9b0a654a31d050d2,Chill Brian,English,male,https://resource.heygen.ai/text_to_speech/WpSDQvmLGXEqXZVZQiVeg6.mp3,N/A,True
b966c31caf124c2a99f19ff1479c964f,Jessica Anne Bogart,English,female,N/A,N/A,True
0c418eab508d4030879c0c3381433806,Juniper,English,female,N/A,N/A,True
16a09e4706f74997ba4ed05ea11470f6,Cassidy ,English,female,N/A,N/A,True
1704ea0565c04c5188d9b67062b31a1a,Jessica Anne Bogart,English,female,N/A,N/A,True
1a9bfb4ec9bc43d59ab64a4e66fe467c,Arabella,English,female,N/A,N/A,True
1d27414819f841fe9f600c20b9da7e58,Juniper,English,female,N/A,N/A,True
5411cb97409f4a3b90f31f83081cf5c6,Brittney,English,female,N/A,N/A,True
5d8c378ba8c3434586081a52ac368738,"
Mark  ",English,male,N/A,N/A,True
c4a8ceb7a2954500bc047fb092bcff3f,John Doe,English,male,N/A,N/A,True
cef3bc4e0a84424cafcde6f2cf466c97,Ivy,English,female,N/A,N/A,True
d2f4f24783d04e22ab49ee8fdc3715e0,Chill Brian,English,male,https://resource.heygen.ai/text_to_speech/WpSDQvmLGXEqXZVZQiVeg6.mp3,N/A,True
42d00d4aac5441279d8536cd6b52c53c,Hope ,English,female,N/A,N/A,True
453c20e1525a429080e2ad9e4b26f2cd,Archer ,English,male,N/A,N/A,True
4754e1ec667544b0bd18cdf4bec7d6a7,Brittney,English,female,N/A,N/A,True
85f12b66e4204825861ad8bc991a56ce,James,English,male,N/A,N/A,True
8661cd40d6c44c709e2d0031c0186ada,Michael C,English,male,N/A,N/A,True
88bb9ee1c81b466eb2a08fdde86d3619,Adam Stone ,English,male,N/A,N/A,True
897d6a9b2c844f56aa077238768fe10a,"
Alex  ",English,male,N/A,N/A,True
8a8fb6db01a44463a087e68f54d0870b,James,English,male,N/A,N/A,True
9669e339a8ab46699b1efb2005343447,Chill Brian,English,male,https://resource.heygen.ai/text_to_speech/WpSDQvmLGXEqXZVZQiVeg6.mp3,N/A,True
97dd67ab8ce242b6a9e7689cb00c6414,Monika Sogam,English,female,N/A,N/A,True
28ce1d47b586430c9dcc6fe2a002c64c,John Doe,English,male,N/A,N/A,True
2e108e12085b4ed5a75857b97005596e,Cassidy ,English,female,N/A,N/A,True
6be73833ef9a4eb0aeee399b8fe9d62b,Andrew,English,male,N/A,N/A,True
76940a9adcd0490a9ce2cfe9a64a2664,Spuds Oxley ,English,male,N/A,N/A,True
7e157ec62c9c45f1adca12faae72c86f,Patrick,English,male,N/A,N/A,True
82850f3aba9c43ea8a347edeffad7a3d,Chill Brian,English,male,https://resource.heygen.ai/text_to_speech/WpSDQvmLGXEqXZVZQiVeg6.mp3,N/A,True
828b59f834fd4c7188da322b6d9b6c75,David Castlemore,English,male,N/A,N/A,True
68dedac41a9f46a6a4271a95c733823c,June - Lifelike,English,female,https://resource.heygen.ai/text_to_speech/vMWu88quJmBwKNFryV5LAb.mp3,N/A,True
69400082563247fd85648d11a2fcc458,Yogi Scott - Soothing 🌼,English,male,N/A,N/A,True
695086d68b194191bd7907f0196d1374,Crisp Chloe,English,female,https://resource.heygen.ai/text_to_speech/hi7xgy9AdAZFMbvGGmmRZh.mp3,N/A,True
6981538b2a85415bbcd878978190314e,Slick Simon,English,male,https://resource.heygen.ai/text_to_speech/Xhr2xACGbyVc4wLrd5kvNK.mp3,N/A,True
69a66ec075d7477d85dbd5f0314e7ba1,Nassim - Informative,English,male,N/A,N/A,True
69ab9617a561446992605c2c7924aacb,Baritone Ben,English,male,https://resource.heygen.ai/text_to_speech/BM2KSJC3wSdbbDcsd7C3ad.mp3,N/A,True
69d9f2bb967d4efd8748def3b671de35,Maxwell,English,male,N/A,N/A,True
6a2854113dd94fdfaf1f8eb51ebf5872,Ellie Faye - Excited 🤩,English,female,N/A,N/A,True
6a5abd5db5104b988514ca82c8e843bd,Milani,English,female,N/A,N/A,True
6a9eb3600a54430988291288982f8b34,Feisty Fiona - Excited 🤩,English,female,N/A,N/A,True
6ad549fcd687425886a4387e9197a1cb,Professor Dean,English,male,https://resource.heygen.ai/text_to_speech/hyhgRKYHKSCCTbinfERZTg.mp3,N/A,True
6b65220d835042af96bc77336439aadf,Rose - UGC - 1.mp4,English,female,https://static.heygen.ai/instant_avatar/voice_clone/b2c18cc939c84942bddcbad080e9d861/voice_previews/92d84243cf2649cc8d3c332682e885e6.wav,N/A,True
6b79b102f0be437785e9023337b47eda,Shona,English,female,N/A,N/A,True
6b8cccddc62341b4acbe2c567e07d50b,Hudson Wilder,English,male,https://resource.heygen.ai/text_to_speech/azNfcLGj5QfpopVzvUHbSA.mp3,N/A,True
6bc024e311ee41dbb66ae24c9c53f0b5,Ann - IA,English,female,https://resource.heygen.ai/text_to_speech/locale=model=id=Virxr3X5JhpX7yFH6eFNEP.mp3,N/A,True
6c0f29c88e4541e39cf5f0bbb2745f4d,Alastair Kensington,English,male,https://resource.heygen.ai/text_to_speech/PxHdRZsFmZuesTsLvvKpMa.mp3,N/A,True
6c3d39e3232643139d8bb2035e963dda,Oxley,English,male,https://resource.heygen.ai/text_to_speech/jEB4kwxKPLmb3PUrKVGXF5.mp3,N/A,True
6c417ccc9d63481ab08699c325d7dccd,Christina,English,female,N/A,N/A,True
6db9fd33d5a2402e9440b51fcc71ba18,Andrew Rizz ,English,male,https://resource.heygen.ai/text_to_speech/YYFp3uTeEpA2RnvQTfH9pG.mp3,N/A,True
6dd171c356f94a138cdbb5bd11ea8ee8,Peyton,English,female,N/A,N/A,True
6e032ca64a1745a0b48036e64042b2fb,Gerardo - Outdoor,English,male,https://resource.heygen.ai/text_to_speech/JrRTDJnKr7tpDb5R2iFrDK.mp3,N/A,True
6e05e310c3f14ed4ba1545578ce82ff6,Chloe - Lifelike,English,female,https://resource.heygen.ai/text_to_speech/gkVUvC9Q4pLfhPg5CkxpBj.mp3,N/A,True
6e4d89218fa24eb3b3fe4faa16a15895,Georgia - Lifelike,English,female,https://resource.heygen.ai/text_to_speech/LNqtdebJFUui4XHREV85gV.mp3,N/A,True
6eafa43fdc16437b8f5abe512cc2b3cf,Ann - IA,English,female,https://resource.heygen.ai/text_to_speech/locale=model=id=Virxr3X5JhpX7yFH6eFNEP.mp3,N/A,True
6edde91c3bea4c1293cc8e356b952060,Stephanie,English,female,N/A,N/A,True
6f94c8b2a6784a1d92ffbe0339138f31,Anthony - IA,English,male,https://resource2.heygen.ai/text_to_speech/561ac7e163fa4d42a9115b5db9beeaf6/6f94c8b2a6784a1d92ffbe0339138f31/id=ea3ba3b0-19d5-4ba6-8eed-83b9d4d4a2ef&locale=None.wav,N/A,True
6fa2fa767bf148fc939c0bbba7306760,Annie - Lifelike,English,female,https://resource2.heygen.ai/text_to_speech/561ac7e163fa4d42a9115b5db9beeaf6/330290724a1b470fb63153f34d4c0183/id=8a40de08-a60e-4d1a-8d03-066c135ebb93&locale=en-US.wav,N/A,True
6HiVdeiuBdZbtcnukrQn,Luca,English,male,https://resource.heygen.ai/text_to_speech/locale=model=eleven_multilingual_v2id=FVKYscu8J8EVReBuZdPXnJ.mp3,N/A,True
